trade_date,Binance_Coin,Bitcoin,Bitcoin_Cash,Bitcoin_SV,Cardano,Chainlink,Crypto_com_Coin,EOS,Ethereum,Huobi_Token,Litecoin,Monero,NEO,Stellar,Tether,Tezos,TRON,UNUS_SED_LEO,USD_Coin,XRP
2020-02-19,-7.19,-5.015,-8.75,-6.593,-7.911,-3.084,-3.071,-12.636,-7.867,-3.427,-7.658,-9.187,-8.862,-5.254,0,3.188,-9.969,0.403,-0.98,-6.818
2020-02-20,-0.448,-0.259,-2.548,-1.119,1.067,-2.955,-3.37,0,-0.697,-0.835,-2.137,-2.034,-0.142,0.635,0,1.404,-2.205,-0.251,0,-1.875
2020-02-21,-0.225,0.811,1.858,1.38,0.652,0.468,1.39,1.496,2.966,0.421,5.501,4.961,-0.213,1.102,0,-3.324,1.646,-2.996,0,0.933
2020-02-22,-0.947,-0.24,-1.468,-3.12,-0.518,-4.429,0.759,1.229,-1.231,-5.241,2.287,-1.629,-1.923,-3.562,0,-5.158,-0.559,-0.818,-0.998,0.35
2020-02-23,3.914,2.704,7.439,4.986,5.441,3.415,4.726,6.311,4.353,5.531,5.87,7.473,4.067,6.132,-0.198,6.042,6.069,-0.207,-0.264,2.468
2020-02-24,-3.46,-2.764,-5.99,-5.778,-4.146,-7.783,-2.717,-5.479,-3.116,-2.306,-5.029,-6.918,-6.769,-5.791,0.078,-9.402,-6.787,-0.237,0.226,-4.274
2020-02-25,-7.713,-3.196,-6.25,-6.352,-4.403,-10.23,-1.575,-1.208,-6.561,-8.155,-5.772,-2.932,-6.886,-5.845,0.12,-11.321,-4.059,-4.213,0.046,-6.361
2020-02-26,-7.571,-5.579,-10.549,-13.37,-12.261,2.564,-10.293,-13.203,-8.934,-4.439,-14.288,-7.708,-11.334,-9.219,0,-1.773,-13.52,2.427,0,-8.903
2020-02-27,1.702,-0.408,2.1,0.675,0.469,9.722,1.084,1.408,0.474,3.178,0.82,-1.495,3.808,1.194,-0.159,1.083,2.798,2.294,0,2.714
2020-02-28,-1.412,-1.275,-2.988,-4.67,-2.152,5.316,-0.558,-2.5,0.004,10.664,-2.845,-2.392,-1.572,-2.843,-0.133,-1.429,0.697,0.559,-0.702,-0.346
2020-02-29,3.873,-0.841,-1.69,-1.704,-2.211,-1.202,-1.831,0.855,-3.047,4.069,-2.042,-2.436,-0.621,-1.456,1.295,0,-2.504,1.113,0.707,-2.16
2020-03-01,-3.167,-0.431,1.612,7.645,-3.384,-5.596,1.19,-0.282,-0.4,-5.35,-0.991,-2.632,1.518,-2.096,-0.99,-5.072,-0.782,-0.829,0,-1.015
2020-03-02,4.483,3.588,7.498,10.017,6.577,8.763,3.995,4.533,5.298,3.478,5.245,5.777,5.541,5.251,-0.5,6.107,6.037,-0.173,-0.579,4.326
2020-03-03,-0.858,-0.923,-2.242,-1.961,-0.392,8.531,2.693,-1.355,-2.641,-2.521,0.23,-3.578,-3.417,-1.442,0.503,-0.719,-1.28,-0.055,0.582,-1.829
2020-03-04,1.629,-0.37,-3.034,-6.191,0.498,1.31,0.199,-1.099,0.018,0.216,-1.243,-0.288,1.381,0.413,0,10.145,2.548,-0.207,0,0.064
2020-03-05,4.208,3.695,5.635,4.065,4.189,1.724,1.58,5,2.116,1.075,2.766,4.238,2.894,1.988,0,1.645,1.022,1.229,0,2.154
2020-03-06,2.356,0.482,3.455,1.849,0.766,-0.847,-0.872,1.323,6.22,0.851,1.579,0.423,2.151,2.381,-0.157,2.265,1.923,-0.062,-0.257,1.881
